text,label
"even though it's warm and sunny i almost feel like this doesn't count as summer at least not for me until i can really get outside and enjoy",1
"lost It all",0
"it does not matter how slowly you go as long as you do not stop",1
"Skies are expected to clear by midday, with temperatures rising to a pleasant 72 degrees. No precipitation is anticipated.",0
"believe you can and you're halfway there",1
"Weather reports indicate a high-pressure system moving in, which will bring clear skies and mild temperatures for the next few days.",0
"success is not final failure is not fatal It is the courage to continue that counts",1
"more than likely the general population has not been grinding this is something i want to talk about every new years but every tiktok and instagram post where it's like 2023 was our warmup 2024 is where we kill it",1
"My neighbor's cat is very friendly.",0
"the only way to do great work is to love what you do",1
"you you you you you you you you you you you you you you you you you you you",0
"in the middle of difficulty lies opportunity",1
"you",0
"the future belongs to those who believe in the beauty of their dreams",1
"Traffic was heavy on my way to work this morning.",0
"dont watch the clock do what it does keep going",1
"the only limit to our realization of tomorrow will be our doubts of today",1
"your limitation its only your imagination",1
"The weather today is partly cloudy with a chance of rain in the afternoon. The temperature is expected to be around 68 degrees Fahrenheit.",0
"Don't just go through the motions. Focus, stay dedicated, and put your heart into every workout.",1 
"but youre going to be so much more satisfied if youre doing all these things because you like it so pick a routine you enjoy set some goals which arent like a roundabout way to satisfaction direct satisfaction i guess is much stronger motivation",1
"I spent the afternoon organizing my gym bag. It's important to keep your gear in order.",0
"To be the best version of yourself, you need to work harder than anyone else in the room.",1
"The average rainfall for this month has been below normal, with only a few scattered showers recorded throughout the region.",0
"idkdifidsfoikfskf idk didkd idk ifosidfj iosdfj, oisdjfoisdjfosidf osidfjoisdjfosidjfo, sidjfiosdjf iosdjfiosdjf idk idk idk",0
"Checked my email and replied to a few messages. Nothing too exciting.",0
"Success in the gym translates to success in life. The discipline you build here is invaluable.",1
"fjdslfjsldfj slfjsldjfls dfjlsjflsjfl sdjflsjflsjf lsjflsjflsfj lsjfljsldfjsldfjslf slfjlsjfljsflj slfjlsjfljsf",0
"Push your limits every single day. It's the only way to grow stronger and achieve greatness.",1
"Cloud cover will increase tonight, bringing cooler temperatures and a chance of light rain by early morning.",0
"The weather outside is pretty mild today. Just a regular, cloudy day.",0
"Every rep, every set, every drop of sweat is a step closer to your goals. Keep grinding.",1
"Consistency is key. Show up every day, put in the work, and the results will follow.",1
"Today I had oatmeal for breakfast. It was a bit bland, but it got the job done.",0
"Your mind will give up before your body does. Train your mind to be as strong as your body.",1
"Spent some time cleaning my apartment. It's nice to have a tidy space.",0
"There's no shortcut to success. It takes time, effort, and unwavering commitment.",1
"Stay hungry for progress. Never settle for less than your best.",1
"Had to run some errands today. Picked up groceries and did some laundry.",0
"Believe in your journey. Trust the process and keep moving forward.",1
"Visualize your success, and then go out and make it happen.",1
"Set high standards for yourself and never lower them for anyone or anything.",1
"The gym was pretty empty today. Got my workout done without any interruptions.",0
"I watched some TV in the evening. Just a few random shows to pass the time.",0
"Cooked some chicken and rice for dinner. It's a staple meal for me.",0
"The sky was overcast all day. Didn't see much of the sun.",0
"I organized my supplements shelf. Everything is now in its proper place.",0
"Had a basic salad for lunch. It's important to get those greens in.",0
"Spent some time browsing the internet. Read a few articles and watched some videos.",0
"I took a walk around the neighborhood. It's good to get some fresh air.",0
"The weather forecast says it might rain tomorrow. Better bring an umbrella.",0
"I cleaned my car today. It's nice to have a clean ride.",0
"Spent the evening reading a book. It's a good way to relax before bed.",0
"Had a protein shake after my workout. It's important to refuel.",0
"Embrace the struggle. It's a crucial part of the path to greatness.",1
"Your body is capable of amazing things. Train hard, eat well, and rest properly.",1
"The drive to the gym was uneventful. Just a typical day on the road.",0
"Make your workouts a priority. Treat them as important appointments that you can't miss.",1
"in my mind saying something like that the stronger you try to affirm and like say and try to show to other people like this is what im going to do i mean not in a way i definitely feel like all youre doing is kind of manifesting your insecurity with whatever that goal is",1
"doifjsidjfisdjfoisdjfoidjfoisdjf idjfidj fidjfidj ifjifj ifjfidj fidjfidj ifjidjfidj ifjidjfidj idjfidjfidj",0
"The gym playlist today was pretty average. Just the usual mix of songs.",0
"Hard work beats talent when talent doesn't work hard. Always give it your all.",1
"Current weather conditions include a slight drizzle, overcast skies, and a mild breeze from the southeast. Visibility is moderately good.",0
"oifjoisdjfoidjfoisdjfoidjfoisdjfoidjfo sidjfoidjfoisdjfoisdjfoidjfo idjfoidjfoidjfoisdjfoidjfoidjfo",0
"Pain is temporary. The pride of achieving your goals will last forever.",1
"The weekly forecast shows a mix of sunny and cloudy days with occasional rain showers. Temperatures will vary between 60 and 75 degrees.",0
